Date,Open,High,Low,Close,Adj Close,Volume
2020-06-03,47.700001,48.150002,47.599998,47.599998,45.043972,320802
2020-06-04,48.000000,48.000000,47.500000,47.750000,45.185917,179432
2020-06-05,47.799999,47.950001,47.599998,47.700001,45.138603,149817
2020-06-08,47.900002,48.000000,47.700001,47.799999,45.233231,223321
2020-06-09,48.000000,48.200001,47.799999,48.099998,45.517120,389804
2020-06-10,48.099998,48.200001,47.799999,48.049999,45.469807,240860
2020-06-11,48.000000,48.000000,47.500000,47.700001,45.138603,230733
2020-06-12,47.000000,47.650002,46.549999,47.549999,44.996655,193568
2020-06-15,47.599998,47.599998,46.700001,46.700001,44.192303,300944
2020-06-16,46.849998,47.450001,46.849998,47.400002,44.854713,267417
2020-06-17,47.599998,48.000000,47.599998,47.799999,45.233231,168720
2020-06-18,48.200001,48.799999,47.799999,47.950001,45.375179,418604
2020-06-19,48.200001,49.400002,48.000000,49.400002,46.747318,1183856
2020-06-22,49.599998,49.599998,48.799999,49.349998,46.700001,1319975
2020-06-23,46.900002,47.799999,46.750000,47.799999,47.799999,1237628
2020-06-24,47.900002,48.450001,47.750000,47.799999,47.799999,468443
2020-06-29,47.599998,47.750000,47.099998,47.599998,47.599998,328013
2020-06-30,47.799999,47.799999,47.049999,47.299999,47.299999,247059
2020-07-01,47.400002,47.599998,47.150002,47.250000,47.250000,297078
2020-07-02,47.349998,47.349998,46.799999,46.900002,46.900002,579543
2020-07-03,47.000000,47.650002,47.000000,47.650002,47.650002,404109
2020-07-06,47.750000,48.000000,47.200001,47.349998,47.349998,545074
2020-07-07,47.650002,48.450001,47.450001,48.400002,48.400002,778057
2020-07-08,48.500000,48.500000,47.799999,48.000000,48.000000,306466
2020-07-09,48.000000,48.099998,47.599998,48.000000,48.000000,329539
2020-07-10,47.599998,48.299999,47.099998,48.000000,48.000000,435384
2020-07-13,48.049999,48.349998,47.799999,48.200001,48.200001,222307
2020-07-14,48.200001,48.200001,46.549999,47.349998,47.349998,361381
2020-07-15,47.400002,47.650002,47.000000,47.500000,47.500000,250518
2020-07-16,47.500000,48.150002,47.400002,48.049999,48.049999,434312
2020-07-17,48.200001,48.200001,47.849998,47.900002,47.900002,233820
2020-07-20,47.900002,48.099998,47.349998,47.950001,47.950001,237906
2020-07-21,48.000000,48.500000,47.700001,48.150002,48.150002,786251
2020-07-22,48.150002,48.799999,48.150002,48.450001,48.450001,288609
2020-07-23,48.549999,48.650002,48.200001,48.500000,48.500000,291240
2020-07-24,48.450001,48.900002,48.450001,48.650002,48.650002,505010
2020-07-27,48.650002,48.750000,48.150002,48.500000,48.500000,435277
2020-07-28,48.200001,48.599998,48.099998,48.250000,48.250000,352955
2020-07-29,48.049999,49.099998,48.049999,49.000000,49.000000,441919
2020-07-30,49.049999,50.200001,49.049999,49.900002,49.900002,826390
2020-07-31,50.000000,50.799999,49.900002,50.400002,50.400002,494305
2020-08-03,50.400002,51.500000,50.400002,50.700001,50.700001,568682
2020-08-04,51.000000,51.099998,49.799999,50.200001,50.200001,340199
2020-08-05,50.200001,50.200001,49.650002,50.000000,50.000000,251971
2020-08-06,50.000000,50.200001,49.400002,49.450001,49.450001,357098
2020-08-07,49.599998,49.599998,48.700001,48.849998,48.849998,362059
2020-08-10,49.000000,49.000000,48.200001,48.599998,48.599998,165457
2020-08-11,48.599998,48.799999,48.299999,48.650002,48.650002,254746
2020-08-12,49.000000,49.000000,48.250000,48.299999,48.299999,144522
2020-08-13,48.349998,48.799999,48.349998,48.599998,48.599998,225049
2020-08-14,48.750000,49.849998,48.549999,49.349998,49.349998,260127
2020-08-17,49.349998,49.349998,48.500000,48.750000,48.750000,424996
2020-08-18,48.750000,49.200001,48.150002,49.049999,49.049999,326739
2020-08-19,49.099998,49.599998,49.049999,49.400002,49.400002,342932
2020-08-20,49.599998,49.599998,48.049999,48.150002,48.150002,491617
2020-08-21,48.200001,48.900002,48.200001,48.849998,48.849998,188381
2020-08-24,48.500000,48.750000,48.000000,48.299999,48.299999,183393
2020-08-25,48.299999,48.650002,48.200001,48.250000,48.250000,135503
2020-08-26,48.299999,48.500000,48.200001,48.400002,48.400002,125400
2020-08-27,48.500000,48.750000,48.000000,48.049999,48.049999,329757
2020-08-28,48.000000,48.099998,47.599998,47.650002,47.650002,367497
2020-08-31,48.000000,48.000000,47.400002,47.500000,47.500000,249055
2020-09-01,47.400002,47.400002,47.000000,47.049999,47.049999,353427
2020-09-02,47.099998,47.500000,47.000000,47.049999,47.049999,227091
2020-09-03,47.200001,47.700001,47.099998,47.099998,47.099998,163306
2020-09-04,46.900002,47.099998,46.599998,47.000000,47.000000,167520
2020-09-07,47.400002,47.400002,46.599998,46.799999,46.799999,243518
2020-09-08,46.900002,46.900002,46.599998,46.650002,46.650002,136233
2020-09-09,46.700001,47.099998,46.599998,47.049999,47.049999,175108
2020-09-10,47.200001,48.000000,47.200001,47.700001,47.700001,346738
2020-09-11,47.650002,47.650002,47.099998,47.150002,47.150002,219147
2020-09-14,47.299999,47.599998,47.150002,47.500000,47.500000,173970
2020-09-15,47.450001,47.500000,47.200001,47.299999,47.299999,90352
2020-09-16,47.549999,48.099998,47.549999,47.950001,47.950001,228003
2020-09-17,48.000000,48.150002,47.750000,47.900002,47.900002,52318
2020-09-18,47.900002,48.000000,47.549999,47.750000,47.750000,194620
2020-09-21,47.650002,48.000000,47.650002,47.950001,47.950001,97176
2020-09-22,47.549999,47.799999,47.049999,47.500000,47.500000,258911
2020-09-23,47.500000,48.000000,47.299999,47.750000,47.750000,136709
2020-09-24,47.500000,47.500000,46.599998,46.900002,46.900002,392283
